entry_id,audio_index,label,response,sampling_method,vsv_enabled,vsv_lambda
4060,Y6Nvu6EcpdE8,Yes,Yes,adversarial,True,0.25
16456,YBzHTqyX69pI,No,No,adversarial,True,0.25
30934,Y-Sz4z0QwEuM,No,No,adversarial,True,0.25
946,YqeSl7YZAfs4,Yes,Yes,adversarial,True,0.25
8719,Yf2fSxfvmkZQ,No,Yes,adversarial,True,0.25
915,YqeSl7YZAfs4,Yes,Yes,random,True,0.25
20968,YQt0_xTadAT0,No,Yes,adversarial,True,0.25
6710,Y6eX6bJOFftA,Yes,Yes,random,True,0.25
7368,YuJzAf4PaExI,No,No,popular,True,0.25
6042,Y0rSETXszQM0,No,No,random,True,0.25
14697,YhpDltmawxIM,No,Yes,random,True,0.25
6803,Y0Rpjl1AO-P0,Yes,Yes,popular,True,0.25
8351,YilspW7JRjAg,Yes,No,adversarial,True,0.25
24052,Yn4VktYihtJU,Yes,No,popular,True,0.25
3082,YzEaGx6an4es,No,No,popular,True,0.25
5753,YH7rd9bZtbgc,No,No,random,True,0.25
26403,YEfk5kdn9lR8,No,Yes,popular,True,0.25
9032,Y3qrVku794u0,Yes,Yes,popular,True,0.25
22927,YyRoKi7rhSRo,No,No,random,True,0.25
3766,Y3MoF8myFs8Y,No,No,random,True,0.25
12768,Yo7-X8DAToGc,Yes,No,popular,True,0.25
29894,Y4UPOUGVMlEs,Yes,No,adversarial,True,0.25
6998,Yu8bQf0SnCVI,No,No,adversarial,True,0.25
15596,Y1Uh74_rZ72k,Yes,Yes,popular,True,0.25
26879,YcK2kSVR1d2o,No,No,adversarial,True,0.25
3667,YKvrcRMfFzOE,Yes,No,popular,True,0.25
685,YuhSDBwVrEdo,Yes,Yes,adversarial,True,0.25
3186,Y-NsC63dA01g,No,No,adversarial,True,0.25
16740,YPO8Nu3F8mkA,No,No,popular,True,0.25
17053,Y8F-ndyrEWJ8,No,Yes,adversarial,True,0.25
2123,YS0YE96w0YRk,No,Yes,popular,True,0.25
20466,YTaQKhIRwii4,Yes,No,popular,True,0.25
1786,YYEYeQ0lIkBQ,Yes,Yes,random,True,0.25
30289,YMVGhC-xB79s,Yes,Yes,popular,True,0.25
4965,YHeEa1GZpUGI,Yes,Yes,adversarial,True,0.25
29959,YgW7s3YAthpI,No,No,random,True,0.25
29341,YEY4p0_NJVQs,No,No,adversarial,True,0.25
13496,YCfxWJ1Qoufg,Yes,No,popular,True,0.25
28129,Y1FNJbN-eHY4,Yes,Yes,adversarial,True,0.25
10415,YjXkLS_QzUrI,No,No,random,True,0.25
24311,YmVjub3o_IxE,No,Yes,adversarial,True,0.25
15310,Y0ury8KHQdL4,No,No,adversarial,True,0.25
5992,Ypgq2KPX5_SA,Yes,No,adversarial,True,0.25
21612,YT9_ep-3BZDY,Yes,Yes,popular,True,0.25
926,YK_Vre_-4KqU,No,No,adversarial,True,0.25
24493,Y22L_3pBa1AI,No,Yes,adversarial,True,0.25
19638,YkXjzsroVTtw,Yes,Yes,popular,True,0.25
12990,YUQtBt6CQpwg,Yes,No,popular,True,0.25
12856,YPkmpxrsidZM,No,Yes,popular,True,0.25
11279,YeUecAF626A8,No,Yes,adversarial,True,0.25
27602,YeYbFtxZmKL4,Yes,Yes,adversarial,True,0.25
24514,YIdBDl9Wr51A,Yes,No,adversarial,True,0.25
13561,YlYhwCRX2wNc,No,Yes,adversarial,True,0.25
7941,YD9GHUPGWsV0,No,No,adversarial,True,0.25
26417,YqakN0JNbpcU,Yes,Yes,adversarial,True,0.25
14712,YC5kmOK_l4jc,Yes,No,popular,True,0.25
9395,YJZloTOdIY_c,Yes,No,popular,True,0.25
2440,YK03ydb1uaoQ,Yes,Yes,random,True,0.25
14192,YgwQMkQmBITE,Yes,No,popular,True,0.25
29602,YlrKGCtSsAkA,Yes,No,popular,True,0.25
3227,YfGGYeXR_LS8,Yes,Yes,adversarial,True,0.25
24724,Y4eyY1w2QyM0,Yes,Yes,random,True,0.25
565,YPLHXGDnig4M,Yes,No,adversarial,True,0.25
19881,YmYQrjcYNrW0,Yes,Yes,popular,True,0.25
9856,YNDaVSIJaXVs,No,No,random,True,0.25
18392,YNlKlRKz8OKI,No,Yes,adversarial,True,0.25
17354,Yi2yhbckq3p0,No,Yes,popular,True,0.25
19561,YSL3wB5sDcdw,Yes,Yes,adversarial,True,0.25
8524,YAizmnCDlXos,Yes,Yes,random,True,0.25
6192,Y-DmjkgWa-rw,No,No,adversarial,True,0.25
14777,YUV1kdjwpy6U,No,Yes,random,True,0.25
16867,Y_oKXrY5Ff0g,Yes,No,popular,True,0.25
24389,Yeu5bq0A3XVQ,No,No,popular,True,0.25
20629,YSCow4mpBsGY,Yes,No,adversarial,True,0.25
28121,YOt0bN_hz2ec,Yes,Yes,popular,True,0.25
8869,YzEM94PH29VQ,No,No,popular,True,0.25
2291,YtfOIhQpYYe8,Yes,No,random,True,0.25
2392,YD9tinq3RMpU,Yes,No,popular,True,0.25
20465,Y5I8lmN8rwDM,No,No,adversarial,True,0.25
5837,Y7QN3lwOzfdg,No,Yes,popular,True,0.25
1603,YKnXNy5Q6YS4,Yes,No,popular,True,0.25
9427,Yz4MeV9IGVo0,No,Yes,adversarial,True,0.25
1743,YQvATUKXYFBs,No,Yes,adversarial,True,0.25
8589,Y4xrL4TSgHwU,Yes,No,popular,True,0.25
7386,YbmEF-c-M174,Yes,No,random,True,0.25
23333,YLvhvAA11oxE,No,No,adversarial,True,0.25
24466,Y27HIamF8pKo,No,No,random,True,0.25
18109,YeRU-rABp8nk,Yes,Yes,adversarial,True,0.25
4013,Y3MoF8myFs8Y,No,Yes,popular,True,0.25
12382,Y6TO9PEGpZcQ,Yes,Yes,random,True,0.25
7294,Y6cS0FsUM-cQ,Yes,Yes,random,True,0.25
24910,YgkWd1HugK2w,No,Yes,adversarial,True,0.25
28174,YlgwpIImXCWA,Yes,No,adversarial,True,0.25
6272,YHUwXtfYRFwk,Yes,Yes,adversarial,True,0.25
27884,YV8A0VRGdgwM,No,No,random,True,0.25
21214,YL6rnV0oNIII,Yes,Yes,random,True,0.25
10112,YYk274Wr5iIE,Yes,Yes,random,True,0.25
26519,Y4YMXgLFcR94,Yes,Yes,adversarial,True,0.25
30200,Y4UPOUGVMlEs,Yes,Yes,popular,True,0.25
22855,Y1a2XWJ8NA_Q,Yes,No,popular,True,0.25
19534,YPvWI4p74UOs,No,No,random,True,0.25
29986,Y77nElZGi5NU,Yes,No,random,True,0.25
18035,Y3ue0gJM0THk,Yes,No,adversarial,True,0.25
16036,Y-oy0BkpMGAk,Yes,Yes,popular,True,0.25
9112,Ycr0GiZr0TNY,No,No,adversarial,True,0.25
14605,YHqnSyliKTKA,Yes,Yes,random,True,0.25
12654,Yo7-X8DAToGc,Yes,Yes,adversarial,True,0.25
18916,YZ3wDry8nnJs,Yes,Yes,adversarial,True,0.25
30023,YQ0anPAIkfBE,No,Yes,adversarial,True,0.25
20155,YESjMIqrvRj4,No,No,popular,True,0.25
30541,Y9z8XIRyUq9Q,Yes,Yes,adversarial,True,0.25
15676,YvruDH_YLaPI,No,Yes,popular,True,0.25
25603,Yr2KhpX_QgXA,No,Yes,adversarial,True,0.25
29768,Y--0w1YA1Hm4,No,No,popular,True,0.25
12462,YMj_BO-iK1G4,No,No,adversarial,True,0.25
19274,YpO8kbg9IJnc,Yes,Yes,random,True,0.25
28385,YMtK8L8gXRrI,No,No,popular,True,0.25
27332,YB3O476LeuXY,No,No,popular,True,0.25
21538,Ym_U506sf9p4,Yes,Yes,popular,True,0.25
2356,YpI_kPedctoo,Yes,No,popular,True,0.25
25474,Y7RMpCCkQks0,No,Yes,adversarial,True,0.25
22719,Yne2DpKCIr4Y,No,No,popular,True,0.25
1605,YcPiSd5nJLrI,No,Yes,adversarial,True,0.25
906,YOpiWMltpj44,No,Yes,popular,True,0.25
16964,YrE6BJ0Bo4w4,No,No,adversarial,True,0.25
23651,YjinJkonlrWc,Yes,No,popular,True,0.25
21345,YUAmDLPjNyMg,Yes,Yes,popular,True,0.25
4245,YNJEPbGVBJIQ,No,No,adversarial,True,0.25
10989,YOr7umk40TZA,No,No,popular,True,0.25
12313,Y8b9z7N25DmU,No,No,random,True,0.25
10792,Ye4ph6bIC5zc,Yes,Yes,popular,True,0.25
19485,Y14izd_i3ryE,No,No,adversarial,True,0.25
4340,Yfx4r_KuW6No,Yes,Yes,random,True,0.25
4306,Yh5_1pnkl_SY,No,Yes,random,True,0.25
17769,YQ87LBiwJjTE,Yes,No,popular,True,0.25
6544,Yjlwe9jtu5Gw,Yes,Yes,popular,True,0.25
13123,YbJMMp6PLKqM,Yes,No,popular,True,0.25
19096,Y7XUt6sQS7nM,No,Yes,adversarial,True,0.25
14920,YLCwSUVuTyvg,Yes,Yes,random,True,0.25
14467,YPVvi2SDOjVc,Yes,Yes,popular,True,0.25
26850,YnmLMLgWPmFM,No,No,popular,True,0.25
21273,Y1L_OyngNZMA,No,Yes,random,True,0.25
9309,Y2ItTq2JShdU,No,No,random,True,0.25
30135,YmGa2JgAiKV8,No,Yes,adversarial,True,0.25
23394,YlX3k5p2I_g0,Yes,Yes,random,True,0.25
13440,YC8kR19NvynA,Yes,Yes,adversarial,True,0.25
27431,YI_8KqxP5xOA,No,No,popular,True,0.25
3331,YHZ9O6sc7cLA,No,No,random,True,0.25
4448,YSE_3nszEw7o,Yes,Yes,random,True,0.25
28447,YvaujJ7msKfc,No,Yes,random,True,0.25
2689,Yc0V_HAul7rI,Yes,Yes,adversarial,True,0.25
29721,Yii3Geza3hAU,Yes,Yes,adversarial,True,0.25
12474,YbJMMp6PLKqM,Yes,Yes,random,True,0.25
17572,Y5xC4hkAWiao,No,No,random,True,0.25
12103,Yo7-X8DAToGc,Yes,Yes,random,True,0.25
28046,Y5OM3tJh51pE,Yes,Yes,popular,True,0.25
3084,YE6FH_xp3I54,Yes,Yes,adversarial,True,0.25
468,YSmdj6JFB9MQ,No,No,adversarial,True,0.25
30383,Y7upINC4seBw,No,Yes,adversarial,True,0.25
16171,Y4abZbau8tZo,Yes,Yes,popular,True,0.25
15197,YdJYO3RbBabE,Yes,Yes,popular,True,0.25
2464,YtfOIhQpYYe8,Yes,Yes,popular,True,0.25
13218,Y3n05BjV7r7M,Yes,No,adversarial,True,0.25
5432,YXplKBvZaHXA,Yes,No,adversarial,True,0.25
10160,YfK4QBQZ6i7w,Yes,No,popular,True,0.25
12094,YsTMKled6Q1M,Yes,No,popular,True,0.25
7587,YD9GHUPGWsV0,No,No,random,True,0.25
12724,YPkmpxrsidZM,No,No,adversarial,True,0.25
20734,YD4s5aHrsBgs,Yes,No,adversarial,True,0.25
11998,YCchRf2jq6fc,No,Yes,random,True,0.25
19731,YIsUG5SKWNZA,No,Yes,popular,True,0.25
29488,YBQ-r9mEHssU,Yes,No,random,True,0.25
7885,Y59VP93Tzjmg,No,Yes,popular,True,0.25
1151,YFR7BDRhMATo,Yes,Yes,adversarial,True,0.25
23428,Y8ipe6b1LwHQ,No,No,popular,True,0.25
17460,YlfAFQ0-wDJU,Yes,Yes,popular,True,0.25
17265,YynHdcJ9Oqaw,No,Yes,random,True,0.25
26497,Y54eRRbCtPn8,No,No,random,True,0.25
29906,YJhGp7HmRQxg,No,Yes,random,True,0.25
23142,Y1HCuBnPLMqQ,Yes,Yes,popular,True,0.25
19226,YfBYDJWChe5c,No,No,adversarial,True,0.25
428,YsVYTOURVsQ0,Yes,Yes,random,True,0.25
1189,YXJba7pTbpD0,No,No,popular,True,0.25
26472,YWLzzpzOKtnY,No,Yes,adversarial,True,0.25
24910,YBwnGxJD9xh8,Yes,Yes,random,True,0.25
505,Yu84FiZ_omhA,Yes,No,adversarial,True,0.25
16730,YTSnq6n8tElo,Yes,Yes,popular,True,0.25
20694,YhVUmQfBIYe8,Yes,No,popular,True,0.25
27487,Y0AsXkZkqelg,No,Yes,random,True,0.25
7553,YRdC8cviN6Bs,No,No,adversarial,True,0.25
24843,YLP_DzNUkAKY,Yes,Yes,random,True,0.25
2157,YPb6MqpdX5Jw,No,No,popular,True,0.25
27579,Y54eRRbCtPn8,No,No,popular,True,0.25
16063,Yx5AH2gW_8S4,Yes,No,adversarial,True,0.25
17216,Yc0IggDOisOo,No,No,random,True,0.25
20488,YwAZrOPvul4Y,Yes,Yes,random,True,0.25
18912,Y-EaZ7EJJUl0,No,No,adversarial,True,0.25
12521,YptIksg9KEac,Yes,Yes,adversarial,True,0.25
7995,YJBWJQCS4SvA,No,Yes,adversarial,True,0.25
24312,Y9MgGaTbmc6g,No,No,popular,True,0.25
5356,YYqYCDis3EUA,No,No,random,True,0.25
11944,Y473wBEwC35M,No,Yes,popular,True,0.25
18365,YrbO727iF03I,Yes,No,popular,True,0.25
15124,YCvNAwby6Xos,No,Yes,popular,True,0.25
1253,YCM49C3RkzV8,Yes,Yes,random,True,0.25
30693,YPWjEfOkb6ro,Yes,Yes,adversarial,True,0.25
11001,YR4fXcbWFhJg,No,Yes,adversarial,True,0.25
2397,YRNBoH2LHQEM,No,No,random,True,0.25
9393,Yy3-M1sonh3M,No,Yes,random,True,0.25
28256,Y4bUL_ttiOdw,Yes,Yes,random,True,0.25
29349,YE9zN3-C64KE,Yes,Yes,random,True,0.25
21951,YyLu4b01t53k,Yes,No,popular,True,0.25
3848,YjjHIINDfE1c,Yes,Yes,adversarial,True,0.25
20026,Y9b6RqajfAmw,No,No,random,True,0.25
19910,YnLtNjMimLE0,Yes,No,adversarial,True,0.25
8529,YL_CNz9Vrtkw,Yes,No,popular,True,0.25
31000,YJhGp7HmRQxg,No,Yes,popular,True,0.25
979,YqZEIs6tS5vk,No,Yes,random,True,0.25
20531,Y-R69Fa-mCaY,Yes,Yes,random,True,0.25
24363,YlX3k5p2I_g0,Yes,Yes,popular,True,0.25
27977,Y3hzy-FL24no,Yes,No,popular,True,0.25
28536,YK-7Y8yhcUiw,Yes,Yes,popular,True,0.25
166,YVjSEIRnLAh8,Yes,Yes,adversarial,True,0.25
0,Y7fmOlUlwoNg,Yes,No,popular,True,0.25
1938,YKtTLsveexOg,Yes,Yes,popular,True,0.25
23269,YKnsKf9KoNds,Yes,Yes,popular,True,0.25
9799,Yir1XTdyt4IY,Yes,No,adversarial,True,0.25
2952,YL2dyilgQ8iM,No,No,popular,True,0.25
6271,YSGaIvgwwWSE,No,Yes,random,True,0.25
18390,YKVAIaRPry24,Yes,Yes,popular,True,0.25
27830,YggN4-K5AgoM,Yes,Yes,random,True,0.25
5134,YlJayhiVzl_E,Yes,Yes,popular,True,0.25
6097,YEbpOXac13yo,No,Yes,random,True,0.25
7478,Yvigslb0kClE,Yes,No,adversarial,True,0.25
26466,YZTYAQBnU4GM,No,No,popular,True,0.25
10224,Ye4ph6bIC5zc,Yes,Yes,random,True,0.25
22184,YAFgGoY8Ihhg,Yes,No,popular,True,0.25
6101,Y_YS5uKWoB6g,Yes,Yes,random,True,0.25
22395,YVkbp8VmL3pM,No,No,random,True,0.25
7811,Y59VP93Tzjmg,No,Yes,adversarial,True,0.25
18237,YXamQAY_WXRY,No,Yes,random,True,0.25
4132,Y6Nvu6EcpdE8,Yes,Yes,popular,True,0.25
24598,Yg_P29ucKj78,Yes,Yes,random,True,0.25
25249,YEUZaxaWqhwg,Yes,Yes,random,True,0.25
18065,YUXGzbBGbqAA,Yes,No,popular,True,0.25
24827,Yr2KhpX_QgXA,No,Yes,random,True,0.25
27108,Yw_Utn3CwAXE,No,Yes,adversarial,True,0.25
21688,Yf8WPf5F22xI,Yes,Yes,random,True,0.25
8734,YwNiYSYJXssA,No,Yes,popular,True,0.25
29060,Y4UPOUGVMlEs,Yes,Yes,random,True,0.25
8038,Yjf4iyQPJSvk,Yes,No,adversarial,True,0.25
2565,YPtW0cZVprJQ,No,No,random,True,0.25
27196,Yy_OyLW9lBXU,No,No,popular,True,0.25
5944,YKtinboYbmHQ,Yes,Yes,random,True,0.25
18954,YSL3wB5sDcdw,Yes,Yes,random,True,0.25
23768,YXz56Q2Q5j5c,Yes,Yes,adversarial,True,0.25
2324,YJnSwRonB9wI,Yes,Yes,random,True,0.25
4591,Yh5_1pnkl_SY,No,Yes,popular,True,0.25
10356,YLxu-3_h4kc4,Yes,Yes,random,True,0.25
1983,Y5QZ0NtdoKJ8,No,No,popular,True,0.25
10827,YTwR8BA6buMI,No,No,adversarial,True,0.25
19642,YwFiCblfZ-vg,Yes,Yes,adversarial,True,0.25
14895,YVOXl8iR-HnI,Yes,No,adversarial,True,0.25
27350,YG0IsabU5hn4,Yes,No,popular,True,0.25
14023,Yq4YFJA5pFXc,No,No,random,True,0.25
17507,Y3ue0gJM0THk,Yes,Yes,random,True,0.25
15877,YC4JwGJQ2dUA,No,Yes,random,True,0.25
1717,YQvATUKXYFBs,No,No,random,True,0.25
4293,YZYWCwfCkBp4,Yes,No,adversarial,True,0.25
28867,YcN-oYKd-M4E,Yes,Yes,popular,True,0.25
8971,Yktc_tJxw8sc,No,No,adversarial,True,0.25
10860,YMTaLknnq4wc,Yes,Yes,random,True,0.25
19314,Ycz0FSQDVBMw,Yes,Yes,popular,True,0.25
4661,YQHfyKaOHSz4,No,No,adversarial,True,0.25
2178,YCO6-i8NLbeo,No,Yes,random,True,0.25
18909,Y14izd_i3ryE,No,Yes,random,True,0.25
10759,Y4s2rRnu2PZo,Yes,Yes,adversarial,True,0.25
9359,YIJ6pm5Kns8A,No,Yes,adversarial,True,0.25
2535,Yc0V_HAul7rI,Yes,Yes,random,True,0.25
7165,Y2ErfX6ZT5pM,No,No,popular,True,0.25
26383,YtwFypUcdgRc,No,Yes,random,True,0.25
6956,YXIooZl1QdM4,Yes,Yes,adversarial,True,0.25
14487,YeNG6fEiAE8c,Yes,No,adversarial,True,0.25
25248,YSoO1HhaEc9Q,No,No,popular,True,0.25
7210,YFDwK7T1JO_0,Yes,No,popular,True,0.25
28724,YAI1OweEW8C0,No,No,popular,True,0.25
24155,Yeu5bq0A3XVQ,No,Yes,adversarial,True,0.25
9381,YawxrHOpt-sE,Yes,Yes,random,True,0.25
4488,Y0NGSrwioYjA,No,No,popular,True,0.25
65,Y6BJ455B1aAs,No,No,adversarial,True,0.25
10991,YV4PLSw_WzVw,Yes,Yes,popular,True,0.25
15477,Y0ury8KHQdL4,No,Yes,popular,True,0.25
15664,YGMP8m09j5vk,No,No,random,True,0.25
16421,YfWvWhLJ5Fow,Yes,Yes,adversarial,True,0.25
1343,YglAeihz0NAM,No,Yes,popular,True,0.25
15745,YDzKjogSVOLM,No,No,adversarial,True,0.25
2702,Yy93cZqNCtks,Yes,Yes,random,True,0.25
23521,YFJkvAMLmejY,Yes,Yes,random,True,0.25
29961,YMVGhC-xB79s,Yes,Yes,adversarial,True,0.25
2615,YBlbGXalLNVU,Yes,No,adversarial,True,0.25
16629,YBzHTqyX69pI,No,No,popular,True,0.25
10148,YAagLJkfrFMk,Yes,Yes,adversarial,True,0.25
16109,YinQOrxc_oZo,Yes,No,popular,True,0.25
13250,Yv7BaYF0kagM,Yes,Yes,popular,True,0.25
